sample_id	Chromosome	Start_Position	Rating	Mean_Rating	All_Rating
Reddy_2677T	11	128426315	4	4	4
Reddy_3888T	12	25368405	4	3.5	4,3
Reddy_813T	12	25368413	5	5	5
Reddy_2095T	15	42034921	4	4	4
Reddy_3540T	15	81517940	3	3	3,3,3
Reddy_2453T	15	81571197	5	5	5
Reddy_3893T	15	81585242	3	3	3
Reddy_3963T	15	81585271	5	5	5
Reddy_1008T	16	3842020	3	3	3
Reddy_3479T	16	3842060	3	3	3
Reddy_2692T	16	3842075	4	4	4
Reddy_2471T	17	37933915	4	4	4,4
Reddy_2687T	17	37933948	5	5	5
Reddy_2781T	17	37933954	4	4	4
Reddy_2833T	17	37944565	2	2	2
Reddy_2839T	17	37944565	4	4	4
Reddy_2644T	17	37944568	4	4	4
Reddy_3812T	17	37944575	3	3	3
Reddy_3617T	17	37944577	4	4	4
Reddy_3697T	17	37944577	4	4	4
Reddy_3994T	19	35829251	1	1	1
Reddy_2471T	19	35829311	3	3	3
Reddy_2237T	1	39322684	4	4	4
Reddy_2205T	1	39322714	2	2	2
Reddy_2905T	1	39322714	4	4	4
Reddy_2692T	1	39322723	4	4	4
Reddy_2250T	1	39322753	3	3	3
Reddy_2784T	21	36421141	4	4	4
Reddy_2690T	2	145182381	4	4	4
Reddy_3601T	3	38182337	0	0	0
Reddy_3861T	3	71037158	1	1	1
Reddy_2128T	3	71096243	4	4	4
Reddy_3898T	3	71161761	2	2	2
Reddy_3726T	3	71179681	4	4	4
Reddy_3833T	3	71179687	4	4	4
Reddy_2217T	3	71179789	2	2	2
Reddy_3552T	3	71179807	3	3	3
Reddy_2225T	4	83905939	5	5	5,5
Reddy_787T	5	67575556	3	3	3,3,3
Reddy_2808T	5	67588969	5	5	5
Reddy_2242T	6	75977390	3	3	3
Reddy_695T	10	104156064	3	3	3
Reddy_2637T	10	104156036	3	3	3
Reddy_3825T	10	104158215	4	4	4
Reddy_2765T	10	104160222	3	3	3
Reddy_3737T	10	104160426	3	3	3
Reddy_2884T	10	104161051	3	3	3
Reddy_3839T	10	104161591	4	4	4
Reddy_2538T	10	104161610	3	3	3
Reddy_2934T	10	28897306	3	3	3
Reddy_3456T	10	28900745	3	3	3,3
Reddy_2999T	10	28900789	3	3	3
Reddy_3750T	10	28903514	3	3	3
Reddy_3977T	10	28905193	2	2	2
Reddy_3653T	10	28905193	2	2	2
Reddy_3655T	10	63661992	4	4	4
Reddy_3628T	10	63662041	4	4	4
Reddy_3845T	10	63662060	4	4	4
Reddy_3845T	10	63662065	4	4	4
Reddy_3535T	10	63662155	4	4	4
Reddy_2905T	10	63662168	4	4	4
Reddy_3608T	10	63700007	4	4	4
Reddy_3646T	10	63700007	5	5	5
Reddy_2831T	10	63759982	4	4	4
Reddy_3760T	10	63810677	3	3	3
Reddy_3760T	10	63810686	4	4	4,4,4
Reddy_3732T	10	63829525	2	2	2
Reddy_800T	10	63851054	4	4	4
Reddy_3699T	10	63851059	4	4	4
Reddy_2764T	10	63851582	4	4	4
Reddy_2562T	10	63851908	5	5	5
Reddy_2897T	10	63852134	5	5	5
Reddy_2213T	10	63852250	4	4	4
Reddy_2478T	10	63852250	4	4	4
Reddy_3733T	10	63852280	5	5	5
Reddy_2215T	10	63852367	4	4	4
Reddy_2562T	10	63852367	4	4	4
Reddy_2662T	10	89653838	3	3	3
Reddy_3741T	10	89692901	4	4	4
Reddy_3728T	10	89692920	4	4	4
Reddy_2244T	10	89692932	4	4	4
Reddy_3682T	10	89717745	4	4	4
Reddy_2231T	10	89720808	4	4	4
Reddy_3820T	10	90750643	3	3	3
Reddy_3901T	10	90750647	4	4	4
Reddy_2677T	10	90767529	4	4	4
Reddy_2957T	10	90773919	3	3	3
Reddy_2643T	10	90773965	4	4	4
Reddy_3535T	10	90773975	4	4	4
Reddy_3712T	10	90773995	4	4	4
Reddy_3535T	10	90774008	4	4	4
Reddy_3600T	10	90774008	4	4	4
Reddy_2681T	10	90774128	4	4	4
Reddy_2644T	10	90774133	4	4	4
Reddy_2150T	11	108115600	4	4	4
Reddy_3394T	11	108121478	4	4	4
Reddy_3396T	11	108121478	4	4	4
Reddy_3399T	11	108121478	4	4	4
Reddy_3401T	11	108121478	5	5	5
Reddy_3403T	11	108121478	4	4	4
Reddy_3406T	11	108121478	4	4	4
Reddy_3409T	11	108121478	4	4	4
Reddy_3417T	11	108121478	3	3	3
Reddy_3423T	11	108121478	3	3	3
Reddy_3848T	11	108123578	3	3	3
Reddy_1016T	11	108124554	3	3	3
Reddy_3900T	11	108124663	4	4	4
Reddy_2111T	11	108126975	4	4	4
Reddy_2140T	11	108126975	4	4	4
Reddy_2163T	11	108128251	3	3	3
Reddy_3831T	11	108129749	3	3	3
Reddy_2917T	11	108138010	4	4	4
Reddy_3914T	11	108150228	5	5	5
Reddy_3636T	11	108158361	4	4	4
Reddy_3925T	11	108175486	4	4	4
Reddy_2824T	11	108181006	4	4	4
Reddy_3480T	11	108186607	3	3	3
Reddy_3525T	11	108188224	4	4	4
Reddy_2306T	11	108201132	4	4	4
Reddy_2306T	11	108201135	4	4	4
Reddy_3719T	11	108202225	4	4	4
Reddy_3770T	11	108202225	4	4	4
Reddy_2297T	11	108202702	4	4	4
Reddy_3829T	11	108203565	3	3	3
Reddy_3713T	11	108205774	4	4	4
Reddy_3937T	11	108216509	4	4	4
Reddy_2269T	11	108216546	4	4	4
Reddy_2834T	11	108224538	4	4	4
Reddy_2878T	11	108535925	4	4	4
Reddy_2605T	11	108594161	4	4	4
Reddy_3972T	11	108712180	2	2	2
Reddy_3448T	11	108712180	3	3	3
Reddy_2544T	11	128332393	3	3	3
Reddy_3669T	11	128332404	3	3	3
Reddy_2255T	11	128333427	3	3	3
Reddy_3780T	11	128354903	4	4	4
Reddy_2103T	11	128359213	4	4	4
Reddy_3875T	11	128359214	3	3	3
Reddy_3876T	11	128359214	4	4	4
Reddy_3944T	11	128391841	3	3	3
Reddy_2832T	11	128391808	4	4	4
Reddy_2952T	11	128391808	4	4	4
Reddy_2190T	11	128391823	2	2	2
Reddy_3565T	11	128391823	3	3	3
Reddy_3721T	11	128391834	2	2	2
Reddy_3837T	11	128391835	4	4	4
Reddy_3745T	11	128391836	4	4	4
Reddy_3408T	11	128391838	3	3	3
Reddy_3456T	11	128391838	2	2	2
Reddy_2950T	11	128391839	3	3	3
Reddy_3468T	11	128391839	3	3	3
Reddy_2215T	11	128391841	2	2	2
Reddy_2470T	11	128391841	2	2	2
Reddy_2950T	11	128391841	3	3	3
Reddy_3745T	11	128391844	4	4	4
Reddy_2944T	11	128391846	3	3	3
Reddy_2125T	11	128391848	2	2	2
Reddy_2133T	11	128391848	3	3	3
Reddy_2112T	11	128391855	3	3	3
Reddy_2619T	11	128391855	3	3	3
Reddy_3811T	11	128391888	4	4	4
Reddy_2127T	11	128391889	4	4	4
Reddy_3851T	11	532698	5	5	5
Reddy_2463T	11	532700	5	5	5
Reddy_2565T	11	532710	4	4	4
Reddy_3417T	11	533935	4	4	4
Reddy_2581T	12	11803077	3	3	3
Reddy_3601T	12	11803077	4	4	4
Reddy_2482T	12	11803078	4	4	4
Reddy_2784T	12	11803078	4	4	4
Reddy_2482T	12	11803080	4	4	4
Reddy_2784T	12	11803080	4	4	4
Reddy_2948T	12	11803084	4	4	4
